Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2018,Bolivia,BOL,40287647930.4761,4.22362351118875,3548.59078021377,42.6,44.2861422,..,..,1083300,71.239,1.53659628459923
2020,Bolivia,BOL,36572764862.8234,-8.82949361965127,3133.09980321504,..,55.13905053,..,..,1083300,..,1.57351874040217
2017,Bosnia and Herzegovina,BIH,18079075770.6713,3.17143487487128,5394.26894391382,..,64.89202051,1.93998662824324,1.71680726271015,51200,77.128,0.864182657718917
2019,Bosnia and Herzegovina,BIH,20201323260.0733,2.83100260259697,6119.76234462222,..,69.94634763,1.80911417735687,1.62614804078784,51200,77.401,0.820066200251352
2018,Bosnia and Herzegovina,BIH,20177409351.4329,3.74007109201324,6070.34908129292,..,70.12013504,1.91955720357587,1.72198688310898,51200,77.262,0.852548557100982
2020,Bosnia and Herzegovina,BIH,19946496562.9733,-3.19695013403583,6079.73828544838,..,73.21175294,..,..,51200,..,0.875244991436492
2016,Bosnia and Herzegovina,BIH,16914287348.9819,3.14980691561182,4994.97155093444,..,60.25653543,2.19018703103435,2.02430041300093,51200,76.998,0.933900814986665
2016,Botswana,BWA,15082578064.8002,7.03689695063241,6982.91749241303,..,39.36299738,1.99356983285517,1.53116489095053,566730,68.178,3.28777594951838
2017,Botswana,BWA,16088437675.1648,4.003449739749,7296.09214157008,..,41.41379464,2.10897972415231,1.75655829604472,566730,68.812,3.00587880312343
2018,Botswana,BWA,16914245098.0392,3.98039539042554,7503.8785883646,..,58,2.16052869622303,2.04191914569203,566730,69.275,2.67608892317505
2019,Botswana,BWA,16593720655.6402,2.99273763533627,7203.06422122998,..,61,2.32408477918833,2.21967434011338,566730,69.592,2.81226100290808
2020,Botswana,BWA,15061922801.6271,-8.49289351078259,6404.89993159074,..,..,..,..,566730,..,3.5022858594132
2018,Brazil,BRA,1916933708381.89,1.78366676137003,9151.38173161536,53.9,70.43428254,24.0863127860036,29.8619551958291,8358140,75.672,1.49420335261882
