,Year,Country Name,Country Code,"Compulsory education, duration (years)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
138,2019,Bosnia and Herzegovina,BIH,0.5294117647058824,0.7722117718453892,0.0,0.0,3.6182588520874392
139,2020,Bosnia and Herzegovina,BIH,0.5294117647058824,0.7722117718453892,0.0,0.0,3.6182588520874392
140,2016,Botswana,BWA,0.0,0.0,0.5901739643678324,0.3516345459934945,2.2352515667161486
141,2017,Botswana,BWA,0.0,0.0,0.5254331782700195,0.4730054105975362,2.4698825883326476
142,2018,Botswana,BWA,0.0,0.0,0.4974098477025737,0.332567755199012,1.9925229610021833
143,2019,Botswana,BWA,0.0,0.0,0.5116957021327677,0.32711349104035675,2.0047318773866056
144,2020,Botswana,BWA,0.0,0.0,0.4855362813877462,0.31893980605597755,1.927891980943425
145,2016,Brazil,BRA,0.8235294117647058,0.767718309852393,0.46726848537703763,0.3393884047291806,5.847104836115895
146,2017,Brazil,BRA,0.8235294117647058,0.7687480240505903,0.4677450522268568,0.35166266819372005,5.888999617001941
147,2018,Brazil,BRA,0.8235294117647058,0.7638759359428716,0.45057820033254176,0.3440658134261091,5.812386996479603
148,2019,Brazil,BRA,0.8235294117647058,0.7619547489881109,0.4422330578102939,0.3464045177745733,5.795028076661456
149,2020,Brazil,BRA,0.8235294117647058,0.7600335620333502,0.43388791528804593,0.3487432221230376,5.77766915684331
150,2016,British Virgin Islands,VGB,0.7058823529411765,0.0,0.2810268309430181,0.30658804398474765,2.187700146781456
151,2017,British Virgin Islands,VGB,0.7058823529411765,0.0,0.1972542832967432,0.31979745188482517,2.0597832751891385
152,2018,British Virgin Islands,VGB,0.7058823529411765,0.0,0.19937820818063273,0.29821478078460517,1.9992831116562577
153,2019,British Virgin Islands,VGB,0.7058823529411765,0.0,0.21600410994356598,0.25984317646916316,1.917420102235798
154,2020,British Virgin Islands,VGB,0.7058823529411765,0.0,0.19432986961041523,0.2804235877961676,1.9358128555505099
155,2016,Brunei Darussalam,BRN,0.5294117647058824,0.7542448854567485,0.3275010090654623,0.2437884683861376,4.932758729822214
156,2017,Brunei Darussalam,BRN,0.5294117647058824,0.7542448854567485,0.3275010090654623,0.2437884683861376,4.932758729822214
157,2018,Brunei Darussalam,BRN,0.5294117647058824,0.7542448854567485,0.3275010090654623,0.2437884683861376,4.932758729822214
158,2019,Brunei Darussalam,BRN,0.5294117647058824,0.7542448854567485,0.3275010090654623,0.2437884683861376,4.932758729822214
159,2020,Brunei Darussalam,BRN,0.5294117647058824,0.7542448854567485,0.3275010090654623,0.2437884683861376,4.932758729822214
160,2016,Bulgaria,BGR,0.6470588235294118,0.7599048327551627,0.30275460932422366,0.271252621318238,5.105945237153224
161,2017,Bulgaria,BGR,0.6470588235294118,0.7599048327551627,0.30275460932422366,0.271252621318238,5.105945237153224
162,2018,Bulgaria,BGR,0.6470588235294118,0.7599048327551627,0.30275460932422366,0.271252621318238,5.105945237153224
163,2019,Bulgaria,BGR,0.6470588235294118,0.7599048327551627,0.30275460932422366,0.271252621318238,5.105945237153224
164,2020,Bulgaria,BGR,0.6470588235294118,0.7599048327551627,0.30275460932422366,0.271252621318238,5.105945237153224
165,2016,Burkina Faso,BFA,0.5882352941176471,0.7118393607442077,0.410723343433515,0.4309639810696958,5.549931367170594
166,2017,Burkina Faso,BFA,0.5882352941176471,0.7118393607442077,0.4165330832671851,0.45689764827694274,5.639351848459676
167,2018,Burkina Faso,BFA,0.5882352941176471,0.7118393607442077,0.4018868306705929,0.48283131548418967,5.687860344888232
168,2019,Burkina Faso,BFA,0.5882352941176471,0.7118393607442077,0.4281525629345252,0.5087649826914367,5.818192811037838
169,2020,Burkina Faso,BFA,0.5882352941176471,0.7118393607442077,0.4339623027681952,0.5346986498986835,5.907613292326919
170,2016,Burundi,BDI,0.0,0.0,0.34722992386716617,0.4428483334792281,2.0230048481720164
171,2017,Burundi,BDI,0.0,0.0,0.35241174585369145,0.4211207639615156,1.9681857835919296
172,2018,Burundi,BDI,0.0,0.0,0.37584383738896804,0.40042314970755766,1.952957123900609
173,2019,Burundi,BDI,0.0,0.0,0.390150794149869,0.37921055782172247,1.9179332617649054
174,2020,Burundi,BDI,0.0,0.0,0.40445775091077,0.3579979659358872,1.8829093996292015
175,2016,Cabo Verde,CPV,0.5882352941176471,0.7475039723034608,0.391395196474344,0.3801729710381179,5.501560489394532
176,2017,Cabo Verde,CPV,0.5882352941176471,0.7605396171305205,0.383473706178346,0.3496954552655048,5.446427540792935
177,2018,Cabo Verde,CPV,0.5882352941176471,0.7735752619575799,0.39732001105790304,0.37432497575679446,5.600151291334156
178,2019,Cabo Verde,CPV,0.5882352941176471,0.7866109067846395,0.350298160406085,0.32287305338089406,5.403894402211057
179,2020,Cabo Verde,CPV,0.5882352941176471,0.7996465516116992,0.336599148383332,0.36413299459899473,5.552418781128091
180,2016,Cambodia,KHM,0.0,0.0,0.16006174302005102,0.19996239671695304,0.9200106761909612
181,2017,Cambodia,KHM,0.0,0.0,0.16006174302005102,0.19996239671695304,0.9200106761909612
182,2018,Cambodia,KHM,0.0,0.0,0.16006174302005102,0.19996239671695304,0.9200106761909612
183,2019,Cambodia,KHM,0.0,0.0,0.16006174302005102,0.19996239671695304,0.9200106761909612
184,2020,Cambodia,KHM,0.0,0.0,0.16006174302005102,0.19996239671695304,0.9200106761909612
185,2016,Cameroon,CMR,0.35294117647058826,0.0,0.1964254345615664,0.27048003295336753,1.5572321444538237
186,2017,Cameroon,CMR,0.35294117647058826,0.0,0.233471423033201,0.33904707761979386,1.837025255396372
187,2018,Cameroon,CMR,0.35294117647058826,0.0,0.23172344075831208,0.3597218730653302,1.8955536771832031
188,2019,Cameroon,CMR,0.35294117647058826,0.0,0.2294514996099594,0.30030878744794043,1.7127705380343283
189,2020,Cameroon,CMR,0.35294117647058826,0.0,0.24046018795942373,0.3065993213121502,1.7536595163258863
190,2016,Canada,CAN,0.5882352941176471,0.0,0.0,0.0,0.5882352941176471
191,2017,Canada,CAN,0.5882352941176471,0.0,0.0,0.0,0.5882352941176471
192,2018,Canada,CAN,0.5882352941176471,0.0,0.0,0.0,0.5882352941176471
193,2019,Canada,CAN,0.5882352941176471,0.0,0.0,0.0,0.5882352941176471
194,2020,Canada,CAN,0.5882352941176471,0.0,0.0,0.0,0.5882352941176471
195,2016,Caribbean small states,CSS,0.38235294117647056,0.7705124253460213,0.34362331323389234,0.31511513602651364,5.096994677107881
196,2017,Caribbean small states,CSS,0.38235294117647056,0.7655441953717962,0.32641389497433543,0.3013752873483351,5.001483374657331
197,2018,Caribbean small states,CSS,0.38235294117647056,0.7686390992767398,0.32192217742740803,0.30208148171809307,5.006998138292525
198,2019,Caribbean small states,CSS,0.38235294117647056,0.771870234166059,0.32284094926329204,0.297596773083187,5.008306095616852
199,2020,Caribbean small states,CSS,0.38235294117647056,0.7723228371060717,0.3998753692113891,0.1997942731008641,4.870777847326128
200,2016,Cayman Islands,CYM,0.7058823529411765,0.0,0.0,0.0,0.7058823529411765
201,2017,Cayman Islands,CYM,0.7058823529411765,0.0,0.0,0.0,0.7058823529411765
202,2018,Cayman Islands,CYM,0.7058823529411765,0.0,0.0,0.0,0.7058823529411765
203,2019,Cayman Islands,CYM,0.7058823529411765,0.0,0.0,0.0,0.7058823529411765
204,2020,Cayman Islands,CYM,0.7058823529411765,0.0,0.0,0.0,0.7058823529411765
205,2016,Central African Republic,CAF,0.5882352941176471,0.0,0.129810855010685,0.15594305603949887,1.3156861722575137
206,2017,Central African Republic,CAF,0.5882352941176471,0.0,0.12977829284403053,0.18952282234401518,1.4163603468377537
207,2018,Central African Republic,CAF,0.5882352941176471,0.0,0.11588243453989937,0.19464598010622589,1.4039381035161234
208,2019,Central African Republic,CAF,0.5882352941176471,0.0,0.130892808205715,0.20875751323998928,1.4762934502490448
209,2020,Central African Republic,CAF,0.5882352941176471,0.0,0.13125345927072496,0.20843004403562734,1.4760323447659789
210,2016,Central Europe and the Baltics,CEB,0.5882352941176471,0.7349008658529299,0.34289325375425644,0.240422033760132,4.934891366318276
211,2017,Central Europe and the Baltics,CEB,0.5882352941176471,0.7470637121706967,0.30275460932422366,0.23111384963904902,4.8753409103660275
212,2018,Central Europe and the Baltics,CEB,0.5882352941176471,0.7280227614968754,0.31577203018042616,0.23700447524990487,4.842883826215715
